,rank_2023,name,country_2023,number_of_students_2023,student_per_staff_2023,intl_students_percentage_2023,female_male_ratio_2023,isr_percentage_2023,female_ratio_2023,male_ratio_2023,year_2023,rank_2024,country_2024,number_of_students_2024,student_per_staff_2024,intl_students_percentage_2024,female_male_ratio_2024,isr_percentage_2024,female_ratio_2024,male_ratio_2024,year_2024
0,1.0,University of Oxford,United Kingdom,20965.0,10.6,42.0,48 : 52,,48.0,52.0,2023-01-01,1.0,United Kingdom,21750.0,10.9,42.0,49 : 51,23%,49.0,51.0,2024-01-01
1,2.0,Harvard University,United States,21887.0,9.6,25.0,50 : 50,,50.0,50.0,2023-01-01,4.0,United States,20050.0,9.0,25.0,51 : 49,12%,51.0,49.0,2024-01-01
2,3.0,University of Cambridge,United Kingdom,20185.0,11.3,39.0,47 : 53,,47.0,53.0,2023-01-01,5.0,United Kingdom,20565.0,11.5,38.0,48 : 52,27%,48.0,52.0,2024-01-01
3,3.0,Stanford University,United States,16164.0,7.1,24.0,46 : 54,,46.0,54.0,2023-01-01,2.0,United States,14517.0,6.4,23.0,47 : 53,22%,47.0,53.0,2024-01-01
4,5.0,Massachusetts Institute of Technology,United States,11415.0,8.2,33.0,40 : 60,,40.0,60.0,2023-01-01,3.0,United States,11085.0,8.0,33.0,41 : 59,40%,41.0,59.0,2024-01-01
5,6.0,California Institute of Technology,United States,2237.0,6.2,34.0,37 : 63,,37.0,63.0,2023-01-01,7.0,United States,2240.0,6.1,33.0,37 : 63,49%,37.0,63.0,2024-01-01
6,7.0,Princeton University,United States,8279.0,8.0,23.0,46 : 54,,46.0,54.0,2023-01-01,6.0,United States,7753.0,7.3,23.0,47 : 53,43%,47.0,53.0,2024-01-01
7,8.0,"University of California, Berkeley",United States,40921.0,18.4,24.0,52 : 48,,52.0,48.0,2023-01-01,9.0,United States,39991.0,17.9,22.0,52 : 48,36%,52.0,48.0,2024-01-01
8,9.0,Yale University,United States,13482.0,5.9,21.0,52 : 48,,52.0,48.0,2023-01-01,10.0,United States,11924.0,5.2,21.0,51 : 49,13%,51.0,49.0,2024-01-01
9,10.0,Imperial College London,United Kingdom,18545.0,11.2,61.0,40 : 60,,40.0,60.0,2023-01-01,8.0,United Kingdom,20275.0,11.8,61.0,42 : 58,28%,42.0,58.0,2024-01-01
10,11.0,Columbia University,United States,21781.0,4.5,38.0,n/a,,,,2023-01-01,17.0,United States,25914.0,5.2,35.0,n/a,23%,,,2024-01-01
11,11.0,ETH Zurich,Switzerland,21665.0,14.8,41.0,33 : 67,,33.0,67.0,2023-01-01,11.0,Switzerland,22619.0,15.4,43.0,33 : 67,43%,33.0,67.0,2024-01-01
12,13.0,The University of Chicago,United States,15366.0,6.0,36.0,47 : 53,,47.0,53.0,2023-01-01,13.0,United States,15792.0,6.2,36.0,47 : 53,29%,47.0,53.0,2024-01-01
13,14.0,University of Pennsylvania,United States,21453.0,6.3,23.0,53 : 47,,53.0,47.0,2023-01-01,16.0,United States,21312.0,6.2,22.0,54 : 46,13%,54.0,46.0,2024-01-01
14,15.0,Johns Hopkins University,United States,17584.0,4.7,29.0,53 : 47,,53.0,47.0,2023-01-01,15.0,United States,15772.0,4.1,28.0,56 : 44,15%,56.0,44.0,2024-01-01
15,16.0,Tsinghua University,China,38324.0,11.6,10.0,n/a,,,,2023-01-01,12.0,China,38518.0,11.2,10.0,n/a,42%,,,2024-01-01
16,17.0,Peking University,China,31994.0,10.3,19.0,n/a,,,,2023-01-01,14.0,China,33064.0,10.9,14.0,n/a,33%,,,2024-01-01
17,18.0,University of Toronto,Canada,77468.0,25.8,26.0,56 : 44,,56.0,44.0,2023-01-01,21.0,Canada,79282.0,25.8,27.0,56 : 44,17%,56.0,44.0,2024-01-01
18,19.0,National University of Singapore,Singapore,32337.0,19.8,25.0,51 : 49,,51.0,49.0,2023-01-01,19.0,Singapore,33334.0,20.0,24.0,49 : 51,28%,49.0,51.0,2024-01-01
19,20.0,Cornell University,United States,24027.0,10.3,26.0,51 : 49,,51.0,49.0,2023-01-01,20.0,United States,23620.0,10.0,24.0,51 : 49,25%,51.0,49.0,2024-01-01
20,21.0,"University of California, Los Angeles",United States,42434.0,9.7,16.0,56 : 44,,56.0,44.0,2023-01-01,18.0,United States,42634.0,9.6,15.0,56 : 44,21%,56.0,44.0,2024-01-01
21,22.0,UCL,United Kingdom,36790.0,10.3,60.0,59 : 41,,59.0,41.0,2023-01-01,22.0,United Kingdom,41110.0,11.3,61.0,59 : 41,21%,59.0,41.0,2024-01-01
22,23.0,University of Michigan-Ann Arbor,United States,45912.0,8.2,17.0,50 : 50,,50.0,50.0,2023-01-01,23.0,United States,45783.0,8.1,16.0,51 : 49,22%,51.0,49.0,2024-01-01
23,24.0,New York University,United States,36337.0,9.8,42.0,57 : 43,,57.0,43.0,2023-01-01,27.0,United States,48461.0,11.8,42.0,58 : 42,21%,58.0,42.0,2024-01-01
24,25.0,Duke University,United States,16091.0,4.2,24.0,52 : 48,,52.0,48.0,2023-01-01,26.0,United States,15527.0,3.9,18.0,52 : 48,15%,52.0,48.0,2024-01-01
25,26.0,Northwestern University,United States,19175.0,13.2,20.0,51 : 49,,51.0,49.0,2023-01-01,28.0,United States,18894.0,13.1,18.0,52 : 48,18%,52.0,48.0,2024-01-01
26,26.0,University of Washington,United States,47727.0,10.8,18.0,55 : 45,,55.0,45.0,2023-01-01,25.0,United States,49486.0,10.1,16.0,56 : 44,20%,56.0,44.0,2024-01-01
27,28.0,Carnegie Mellon University,United States,14305.0,12.9,47.0,44 : 56,,44.0,56.0,2023-01-01,24.0,United States,13562.0,11.9,44.0,44 : 56,43%,44.0,56.0,2024-01-01
28,29.0,University of Edinburgh,United Kingdom,32845.0,11.8,47.0,62 : 38,,62.0,38.0,2023-01-01,30.0,United Kingdom,33940.0,11.5,46.0,61 : 39,24%,61.0,39.0,2024-01-01
29,30.0,Technical University of Munich,Germany,33960.0,40.6,36.0,37 : 63,,37.0,63.0,2023-01-01,30.0,Germany,35506.0,44.4,39.0,37 : 63,36%,37.0,63.0,2024-01-01
30,31.0,University of Hong Kong,Hong Kong,18087.0,18.2,43.0,54 : 46,,54.0,46.0,2023-01-01,35.0,Hong Kong,18103.0,18.3,43.0,55 : 45,36%,55.0,45.0,2024-01-01
31,32.0,"University of California, San Diego",United States,37030.0,11.3,28.0,48 : 52,,48.0,52.0,2023-01-01,34.0,United States,40596.0,12.0,19.0,45 : 55,21%,45.0,55.0,2024-01-01
32,33.0,LMU Munich,Germany,35003.0,34.2,19.0,61 : 39,,61.0,39.0,2023-01-01,38.0,Germany,34622.0,33.5,18.0,62 : 38,21%,62.0,38.0,2024-01-01
33,34.0,University of Melbourne,Australia,49588.0,23.8,47.0,58 : 42,,58.0,42.0,2023-01-01,37.0,Australia,51307.0,25.1,47.0,58 : 42,18%,58.0,42.0,2024-01-01
34,35.0,King’s College London,United Kingdom,28965.0,11.8,52.0,63 : 37,,63.0,37.0,2023-01-01,38.0,United Kingdom,32835.0,13.9,53.0,63 : 37,12%,63.0,37.0,2024-01-01
35,36.0,"Nanyang Technological University, Singapore",Singapore,24651.0,15.1,25.0,48 : 52,,48.0,52.0,2023-01-01,32.0,Singapore,25895.0,16.7,27.0,49 : 51,38%,49.0,51.0,2024-01-01
36,37.0,London School of Economics and Political Science,United Kingdom,11120.0,11.9,73.0,55 : 45,,55.0,45.0,2023-01-01,46.0,United Kingdom,11945.0,12.6,72.0,56 : 44,15%,56.0,44.0,2024-01-01
37,38.0,Georgia Institute of Technology,United States,28826.0,24.7,40.0,33 : 67,,33.0,67.0,2023-01-01,36.0,United States,32079.0,28.0,29.0,34 : 66,43%,34.0,66.0,2024-01-01
38,39.0,The University of Tokyo,Japan,26112.0,10.5,15.0,n/a,,,,2023-01-01,29.0,Japan,26345.0,10.3,15.0,n/a,35%,,,2024-01-01
39,40.0,University of British Columbia,Canada,56452.0,18.9,34.0,55 : 45,,55.0,45.0,2023-01-01,41.0,Canada,58987.0,19.4,34.0,55 : 45,21%,55.0,45.0,2024-01-01
40,41.0,École Polytechnique Fédérale de Lausanne,Switzerland,11641.0,12.3,62.0,30 : 70,,30.0,70.0,2023-01-01,33.0,Switzerland,12543.0,13.5,64.0,30 : 70,44%,30.0,70.0,2024-01-01
41,42.0,KU Leuven,Belgium,47663.0,36.5,18.0,51 : 49,,51.0,49.0,2023-01-01,45.0,Belgium,49435.0,37.3,19.0,52 : 48,23%,52.0,48.0,2024-01-01
42,43.0,Universität Heidelberg,Germany,19347.0,13.5,21.0,55 : 45,,55.0,45.0,2023-01-01,47.0,Germany,19315.0,13.3,20.0,55 : 45,20%,55.0,45.0,2024-01-01
43,44.0,Monash University,Australia,58725.0,42.5,41.0,57 : 43,,57.0,43.0,2023-01-01,54.0,Australia,58460.0,43.1,38.0,56 : 44,21%,56.0,44.0,2024-01-01
44,45.0,The Chinese University of Hong Kong,Hong Kong,18468.0,19.0,21.0,n/a,,,,2023-01-01,53.0,Hong Kong,18290.0,18.8,25.0,n/a,25%,,,2024-01-01
45,46.0,McGill University,Canada,32309.0,12.5,30.0,60 : 40,,60.0,40.0,2023-01-01,49.0,Canada,30821.0,11.9,29.0,61 : 39,22%,61.0,39.0,2024-01-01
46,47.0,Paris Sciences et Lettres – PSL Research University Paris,France,16218.0,15.0,22.0,51 : 49,,51.0,49.0,2023-01-01,40.0,France,16120.0,15.0,22.0,51 : 49,30%,51.0,49.0,2024-01-01
47,48.0,University of Illinois at Urbana-Champaign,United States,48674.0,17.4,22.0,48 : 52,,48.0,52.0,2023-01-01,42.0,United States,50250.0,19.6,23.0,51 : 49,35%,51.0,49.0,2024-01-01
48,49.0,Karolinska Institute,Sweden,8021.0,9.9,27.0,70 : 30,,70.0,30.0,2023-01-01,50.0,Sweden,8085.0,9.9,27.0,70 : 30,4%,70.0,30.0,2024-01-01
49,50.0,University of Texas at Austin,United States,49171.0,17.4,10.0,53 : 47,,53.0,47.0,2023-01-01,52.0,United States,48558.0,16.4,8.0,55 : 45,36%,55.0,45.0,2024-01-01
50,51.0,Fudan University,China,36318.0,11.9,9.0,52 : 48,,52.0,48.0,2023-01-01,44.0,China,38101.0,12.6,9.0,52 : 48,24%,52.0,48.0,2024-01-01
51,52.0,Shanghai Jiao Tong University,China,37478.0,11.5,8.0,42 : 58,,42.0,58.0,2023-01-01,43.0,China,38472.0,12.6,9.0,37 : 63,31%,37.0,63.0,2024-01-01
52,53.0,The University of Queensland,Australia,41372.0,34.2,41.0,55 : 45,,55.0,45.0,2023-01-01,70.0,Australia,42847.0,39.1,42.0,55 : 45,21%,55.0,45.0,2024-01-01
53,54.0,University of Manchester,United Kingdom,37035.0,14.2,44.0,55 : 45,,55.0,45.0,2023-01-01,51.0,United Kingdom,40725.0,15.6,45.0,56 : 44,26%,56.0,44.0,2024-01-01
54,54.0,The University of Sydney,Australia,45853.0,19.0,45.0,58 : 42,,58.0,42.0,2023-01-01,60.0,Australia,57414.0,23.1,51.0,58 : 42,18%,58.0,42.0,2024-01-01
55,56.0,Seoul National University,South Korea,26209.0,15.1,10.0,n/a,,,,2023-01-01,62.0,South Korea,28620.0,16.1,13.0,n/a,26%,,,2024-01-01
56,57.0,Washington University in St Louis,United States,14420.0,7.8,24.0,53 : 47,,53.0,47.0,2023-01-01,68.0,United States,13825.0,7.3,22.0,52 : 48,12%,52.0,48.0,2024-01-01
57,58.0,The Hong Kong University of Science and Technology,Hong Kong,9864.0,21.0,32.0,n/a,,,,2023-01-01,64.0,Hong Kong,9794.0,19.9,30.0,n/a,44%,,,2024-01-01
58,59.0,Wageningen University & Research,Netherlands,15404.0,18.6,27.0,55 : 45,,55.0,45.0,2023-01-01,64.0,Netherlands,15899.0,18.1,28.0,54 : 46,28%,54.0,46.0,2024-01-01
59,60.0,University of Amsterdam,Netherlands,29157.0,14.5,32.0,59 : 41,,59.0,41.0,2023-01-01,61.0,Netherlands,28649.0,13.2,36.0,60 : 40,16%,60.0,40.0,2024-01-01
60,61.0,Brown University,United States,10037.0,10.1,21.0,n/a,,,,2023-01-01,64.0,United States,9781.0,10.3,19.0,n/a,17%,,,2024-01-01
61,62.0,Australian National University,Australia,16758.0,14.6,51.0,52 : 48,,52.0,48.0,2023-01-01,67.0,Australia,17293.0,15.1,48.0,52 : 48,29%,52.0,48.0,2024-01-01
62,63.0,"University of California, Davis",United States,37639.0,13.1,18.0,60 : 40,,60.0,40.0,2023-01-01,59.0,United States,37926.0,13.3,18.0,60 : 40,22%,60.0,40.0,2024-01-01
63,64.0,"University of California, Santa Barbara",United States,25860.0,28.5,20.0,54 : 46,,54.0,46.0,2023-01-01,69.0,United States,25540.0,27.5,18.0,54 : 46,39%,54.0,46.0,2024-01-01
64,65.0,University of Southern California,United States,40549.0,12.6,22.0,49 : 51,,49.0,51.0,2023-01-01,74.0,United States,44083.0,14.2,24.0,49 : 51,20%,49.0,51.0,2024-01-01
65,66.0,Utrecht University,Netherlands,32532.0,17.1,13.0,62 : 38,,62.0,38.0,2023-01-01,,,,,,,,,,
66,67.0,Zhejiang University,China,46124.0,12.0,16.0,n/a,,,,2023-01-01,55.0,China,48169.0,12.0,16.0,n/a,32%,,,2024-01-01
67,68.0,Kyoto University,Japan,22269.0,9.2,12.0,25 : 75,,25.0,75.0,2023-01-01,55.0,Japan,21817.0,9.0,11.0,25 : 75,32%,25.0,75.0,2024-01-01
68,69.0,University of North Carolina at Chapel Hill,United States,31080.0,7.9,8.0,59 : 41,,59.0,41.0,2023-01-01,72.0,United States,30782.0,7.7,8.0,60 : 40,12%,60.0,40.0,2024-01-01
69,70.0,Delft University of Technology,Netherlands,20299.0,16.1,31.0,31 : 69,,31.0,69.0,2023-01-01,48.0,Netherlands,21262.0,15.9,30.0,31 : 69,50%,31.0,69.0,2024-01-01
70,71.0,Boston University,United States,27243.0,10.8,31.0,59 : 41,,59.0,41.0,2023-01-01,78.0,United States,26677.0,10.8,29.0,58 : 42,16%,58.0,42.0,2024-01-01
71,71.0,UNSW Sydney,Australia,45133.0,36.3,40.0,47 : 53,,47.0,53.0,2023-01-01,84.0,Australia,47044.0,36.6,40.0,47 : 53,26%,47.0,53.0,2024-01-01
72,73.0,Charité - Universitätsmedizin Berlin,Germany,8429.0,18.0,21.0,64 : 36,,64.0,36.0,2023-01-01,94.0,Germany,8868.0,17.5,21.0,65 : 35,6%,65.0,35.0,2024-01-01
73,74.0,University of Science and Technology of China,China,18573.0,8.1,6.0,n/a,,,,2023-01-01,57.0,China,20252.0,8.1,5.0,n/a,43%,,,2024-01-01
74,75.0,University of Groningen,Netherlands,30009.0,24.4,28.0,52 : 48,,52.0,48.0,2023-01-01,79.0,Netherlands,31942.0,28.8,29.0,53 : 47,17%,53.0,47.0,2024-01-01
75,76.0,University of Bristol,United Kingdom,25680.0,14.6,31.0,56 : 44,,56.0,44.0,2023-01-01,81.0,United Kingdom,27335.0,14.8,31.0,55 : 45,27%,55.0,45.0,2024-01-01
76,77.0,Leiden University,Netherlands,33648.0,19.3,20.0,60 : 40,,60.0,40.0,2023-01-01,77.0,Netherlands,35072.0,19.3,21.0,60 : 40,24%,60.0,40.0,2024-01-01
77,78.0,Yonsei University (Seoul campus),South Korea,19481.0,14.7,17.0,50 : 50,,50.0,50.0,2023-01-01,76.0,South Korea,18961.0,13.9,17.0,49 : 51,21%,49.0,51.0,2024-01-01
78,79.0,The Hong Kong Polytechnic University,Hong Kong,19046.0,28.9,30.0,51 : 49,,51.0,49.0,2023-01-01,87.0,Hong Kong,20034.0,30.6,30.0,51 : 49,38%,51.0,49.0,2024-01-01
79,80.0,Erasmus University Rotterdam,Netherlands,31668.0,33.9,22.0,53 : 47,,53.0,47.0,2023-01-01,99.0,Netherlands,33874.0,36.0,25.0,54 : 46,10%,54.0,46.0,2024-01-01
80,81.0,University of Wisconsin-Madison,United States,40701.0,10.0,14.0,n/a,,,,2023-01-01,63.0,United States,41209.0,9.9,13.0,n/a,24%,,,2024-01-01
81,82.0,Emory University,United States,13190.0,4.2,20.0,60 : 40,,60.0,40.0,2023-01-01,,,,,,,,,,
82,82.0,University of Glasgow,United Kingdom,28540.0,13.5,41.0,59 : 41,,59.0,41.0,2023-01-01,87.0,United Kingdom,32270.0,14.4,43.0,59 : 41,23%,59.0,41.0,2024-01-01
83,82.0,University of Zurich,Switzerland,25003.0,13.7,22.0,56 : 44,,56.0,44.0,2023-01-01,80.0,Switzerland,25608.0,14.7,24.0,58 : 42,19%,58.0,42.0,2024-01-01
84,85.0,McMaster University,Canada,26403.0,29.0,20.0,56 : 44,,56.0,44.0,2023-01-01,,,,,,,,,,
85,86.0,Humboldt University of Berlin,Germany,34399.0,53.2,17.0,n/a,,,,2023-01-01,87.0,Germany,34761.0,54.5,18.0,n/a,23%,,,2024-01-01
86,86.0,University of Tübingen,Germany,20620.0,27.5,13.0,59 : 41,,59.0,41.0,2023-01-01,95.0,Germany,21632.0,27.1,14.0,59 : 41,21%,59.0,41.0,2024-01-01
87,88.0,University of Adelaide,Australia,23102.0,32.8,32.0,49 : 51,,49.0,51.0,2023-01-01,,,,,,,,,,
88,89.0,University of Bonn,Germany,27210.0,47.5,17.0,56 : 44,,56.0,44.0,2023-01-01,91.0,Germany,26290.0,44.5,17.0,57 : 43,26%,57.0,43.0,2024-01-01
89,90.0,Sorbonne University,France,41443.0,13.9,21.0,59 : 41,,59.0,41.0,2023-01-01,75.0,France,41527.0,14.5,22.0,60 : 40,32%,60.0,40.0,2024-01-01
90,91.0,Free University of Berlin,Germany,26497.0,41.9,23.0,62 : 38,,62.0,38.0,2023-01-01,,,,,,,,,,
91,91.0,Korea Advanced Institute of Science and Technology (KAIST),South Korea,9946.0,10.7,9.0,21 : 79,,21.0,79.0,2023-01-01,83.0,South Korea,10130.0,10.7,8.0,21 : 79,40%,21.0,79.0,2024-01-01
92,93.0,Université Paris-Saclay,France,44443.0,14.9,19.0,49 : 51,,49.0,51.0,2023-01-01,58.0,France,31662.0,13.0,24.0,50 : 50,35%,50.0,50.0,2024-01-01
93,94.0,University of Bern,Switzerland,11728.0,17.2,17.0,58 : 42,,58.0,42.0,2023-01-01,,,,,,,,,,
94,95.0,"University of California, Irvine",United States,36655.0,16.9,28.0,52 : 48,,52.0,48.0,2023-01-01,92.0,United States,35675.0,16.2,26.0,53 : 47,25%,53.0,47.0,2024-01-01
95,95.0,Institut Polytechnique de Paris,France,5999.0,6.7,41.0,24 : 76,,24.0,76.0,2023-01-01,71.0,France,6073.0,6.8,42.0,25 : 75,47%,25.0,75.0,2024-01-01
96,95.0,Nanjing University,China,36426.0,16.5,8.0,54 : 46,,54.0,46.0,2023-01-01,73.0,China,36711.0,16.7,8.0,54 : 46,41%,54.0,46.0,2024-01-01
97,98.0,Vanderbilt University,United States,12696.0,3.8,15.0,55 : 45,,55.0,45.0,2023-01-01,92.0,United States,12971.0,3.9,17.0,55 : 45,16%,55.0,45.0,2024-01-01
98,99.0,City University of Hong Kong,Hong Kong,9099.0,12.1,62.0,54 : 46,,54.0,46.0,2023-01-01,82.0,Hong Kong,9076.0,13.2,67.0,54 : 46,39%,54.0,46.0,2024-01-01
99,99.0,RWTH Aachen University,Germany,39738.0,50.0,28.0,33 : 67,,33.0,67.0,2023-01-01,90.0,Germany,34914.0,43.3,29.0,34 : 66,39%,34.0,66.0,2024-01-01
100,,University of Minnesota,,,,,,,,,,85.0,United States,59556.0,11.8,9.0,55 : 45,22%,55.0,45.0,2024-01-01
101,,Purdue University West Lafayette,,,,,,,,,,86.0,United States,42633.0,18.3,17.0,44 : 56,37%,44.0,56.0,2024-01-01
102,,,,,,,,,,,,95.0,,32680.0,9.6,37.0,50 : 50,39%,50.0,50.0,2024-01-01
103,,KTH Royal Institute of Technology,,,,,,,,,,97.0,Sweden,13269.0,15.9,26.0,34 : 66,46%,34.0,66.0,2024-01-01
104,,University of Southampton,,,,,,,,,,97.0,United Kingdom,19920.0,13.0,35.0,51 : 49,32%,51.0,49.0,2024-01-01
105,,Ohio State University (Main campus),,,,,,,,,,99.0,United States,55538.0,11.4,11.0,51 : 49,22%,51.0,49.0,2024-01-01
